Reference, Value, Footprint, Datasheet
P14,ANALOG_5V0,alamode_fp:Header_6x1,
P15,ANALOG_GND,alamode_fp:Header_6x1,
P13,AREF,alamode_fp:Header_A_REF,
P9,ICSP,alamode_fp:Header_ICSP,
C7,100n,alamode_fp:c_0805,
P8,FTDI,alamode_fp:Header_FTDI,
F2,nanoSMDC110F,alamode_fp:f_1206,
D8,MBRM110LT1G,alamode_fp:do_457,
C14,100n,alamode_fp:c_0805,
C8,47u,10V,alamode_fp:C_ELCO_SMD,
P6,GND_SERVO,alamode_fp:Header_Servo,
P5,5V_SERVO,alamode_fp:Header_Servo,
P4,PWM_SERVO,alamode_fp:Header_Servo,
DIP1,DIP,alamode_fp:DIP,
SHIELD1,ARDUINO_SHIELD,alamode_fp:ARDUINO_SHIELD_2_040pins,
IC1,ATMEGA328-PU,alamode_fp:DIP-28__300_ELL,
D4,RB886G,alamode_fp:d_VMD2,
D3,RB886G,alamode_fp:d_VMD2,
P7,GPS_UP501,alamode_fp:Header_GPS,
X1,16MHz,alamode_fp:Xtal_SMD2,
C11,22p,alamode_fp:c_0805,
C10,22p,alamode_fp:c_0805,
SD1,SD_CARD_MICRO,alamode_fp:SD_Micro,
U2,74HC125,alamode_fp:SO14E,
R2,10k,alamode_fp:r_0805,
R1,10k,alamode_fp:r_0805,
SW1,RST,alamode_fp:SW_SMD,
R7,10k,alamode_fp:r_0805,
C1,100n,alamode_fp:c_0805,
R3,10k,alamode_fp:r_0805,
R4,10k,alamode_fp:r_0805,
R6,10k,alamode_fp:r_0805,
R15,8k2,alamode_fp:r_0805,
R16,16k,alamode_fp:r_0805,
R14,0E,alamode_fp:r_0805,
R5,1k5,alamode_fp:r_0805,
R8,1k5,alamode_fp:r_0805,
D2,3V3,alamode_fp:led_0805,
D1,5V0,alamode_fp:led_0805,
F1,nanoSMDC110F,alamode_fp:f_1206,
C16,10n,alamode_fp:c_0805,
C15,1n,alamode_fp:c_0805,
D7,SMBJ5.0CA-TR,alamode_fp:diode-DO214AA,
P12,UUSB_B,alamode_fp:USB_B_Micro,
D13,BLINK,alamode_fp:led_0805,
R12,1k,alamode_fp:r_0805,
U5,LM358N,alamode_fp:SO8E,
C2,100n,alamode_fp:c_0805,
U1,LP2985-33DBVR,alamode_fp:SOT23-5,
Q1,FDN340P,alamode_fp:SOT23-3,
R11,10k,alamode_fp:r_0805,
R10,10k,alamode_fp:r_0805,
U3,NCP1117ST50T3G,alamode_fp:SOT223,
D5,MBRM110LT1G,alamode_fp:do_457,
C6,100u,25V,alamode_fp:C_ELCO_SMD,
C3,2u2 Tant,alamode_fp:c_0805,
C5,2u2,alamode_fp:c_0805,
C4,100n,alamode_fp:c_0805,
P10,V_IN,alamode_fp:JACK_ALIM,
G4,Logo_OH,alamode_fp:OSHW_6mm,
G3,Logo_OH,alamode_fp:OSHW_6mm,
G2,Logo_Wyolum,alamode_fp:Logo-WL3,
G1,Logo_Wyolum,alamode_fp:Logo-WL3,
R9,10k,alamode_fp:r_0805,
B15,I/O,alamode_fp:I_O,
B3,I/O,alamode_fp:I_O,
B2,I/O,alamode_fp:I_O,
U4,DS3231N,alamode_fp:DS3231,
C9,100n,alamode_fp:c_0805,
BT1,BATT_RTC,alamode_fp:CR1632_2,
P16,5V_LINK,alamode_fp:Header_U6OE_SMT,
P1,BCM2835_GPIO,alamode_fp:Header_GPIO,
R13,10k,alamode_fp:r_0805,
P3,LAN_JTAG,alamode_fp:Header_GPU_JTAG,
P11,U6_OE,alamode_fp:Header_U6OE_SMT,
C13,100n,alamode_fp:c_0805,
C12,100n,alamode_fp:c_0805,
U6,TXS0108,alamode_fp:tssop-20,
P2,GPU_JTAG,alamode_fp:Header_GPU_JTAG,
