"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref"
1;"B2 B3 B15";"I/O";3;"I/O";
2;"BT1";"CR1632_2";1;"BATT_RTC";
3;"C1 C2 C4 C7 C9 C12 C13 C14";"c_0805";8;"100n";
4;"C10 C11";"c_0805";2;"22p";
5;"C15";"c_0805";1;"1n";
6;"C16";"c_0805";1;"10n";
7;"C3";"c_0805";1;"2u2 Tant";
8;"C5";"c_0805";1;"2u2";
9;"C6";"C_ELCO_SMD";1;"100u,25V";
10;"C8";"C_ELCO_SMD";1;"47u,10V";
11;"D1";"led_0805";1;"5V0";
12;"D13";"led_0805";1;"BLINK";
13;"D2";"led_0805";1;"3V3";
14;"D3 D4";"d_VMD2";2;"RB886G";
15;"D5 D8";"do_457";2;"MBRM110LT1G";
16;"D7";"diode-DO214AA";1;"SMBJ5.0CA-TR";
17;"DIP1";"DIP";1;"DIP";
18;"F1 F2";"f_1206";2;"nanoSMDC110F";
19;"G1 G2";"Logo-WL3";2;"Logo_Wyolum";
20;"G3 G4";"OSHW_6mm";2;"Logo_OH";
21;"IC1";"DIP-28__300_ELL";1;"ATMEGA328-PU";
22;"P1";"Header_GPIO";1;"BCM2835_GPIO";
23;"P10";"JACK_ALIM";1;"V_IN";
24;"P11";"Header_U6OE_SMT";1;"U6_OE";
25;"P12";"USB_B_Micro";1;"UUSB_B";
26;"P13";"Header_A_REF";1;"AREF";
27;"P14";"Header_6x1";1;"ANALOG_5V0";
28;"P15";"Header_6x1";1;"ANALOG_GND";
29;"P16";"Header_U6OE_SMT";1;"5V_LINK";
30;"P2";"Header_GPU_JTAG";1;"GPU_JTAG";
31;"P3";"Header_GPU_JTAG";1;"LAN_JTAG";
32;"P4";"Header_Servo";1;"PWM_SERVO";
33;"P5";"Header_Servo";1;"5V_SERVO";
34;"P6";"Header_Servo";1;"GND_SERVO";
35;"P7";"Header_GPS";1;"GPS_UP501";
36;"P8";"Header_FTDI";1;"FTDI";
37;"P9";"Header_ICSP";1;"ICSP";
38;"PCB1";"PCB";1;"PCB";
39;"Q1";"SOT23-3";1;"FDN340P";
40;"R1 R2 R3 R4 R6 R7 R9 R10 R11 R13";"r_0805";10;"10k";
41;"R12";"r_0805";1;"1k";
42;"R14";"r_0805";1;"0E";
43;"R15";"r_0805";1;"8k2";
44;"R16";"r_0805";1;"16k";
45;"R5 R8";"r_0805";2;"1k5";
46;"SD1";"SD_Micro";1;"SD_CARD_MICRO";
47;"SHIELD1";"ARDUINO_SHIELD_2_040pins";1;"ARDUINO_SHIELD";
48;"SW1";"SW_SMD";1;"RST";
49;"U1";"SOT23-5";1;"LP2985-33DBVR";
50;"U2";"SO14E";1;"74HC125";
51;"U3";"SOT223";1;"NCP1117ST50T3G";
52;"U4";"DS3231";1;"DS3231N";
53;"U5";"SO8E";1;"LM358N";
54;"U6";"tssop-20";1;"TXS0108";
55;"X1";"Xtal_SMD2";1;"16MHz";
